de_name,dd_name,dd_l0,dd_l1,dd_l2,dd_l3,domain_path,dqr_published_indicator,dqr_target,dq_name,dq_qr_rule,dq_dimension,dq_target
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_714101_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_243585_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_243052_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_243053_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_243584_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
politically exposed person indicator [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___politically exposed person indicator [individual],true,0.975,GPB_243556_CMP001_2584e361-5d27-4560-b983-5096aa429cf2,Must not be blank,Completeness,0.95
facility currency [credit facility],Credit Facility Data,Contract Data,Financial Instrument Data,Credit Facility Data,,Contract Data_Financial Instrument Data_Credit Facility Data__facility currency [credit facility],true,0.99,GPB_1218024_CMP001_2654de19-e9c0-44dd-86c4-bb8136230919,Must not be blank,Completeness,0.95
organisation registered address property identifier [contact postal address],Party Data,Party Data,,,,Party Data____organisation registered address property identifier [contact postal address],false,0.99,GPB_1218024_CMP001_280af79e-91d5-4db4-930f-4c9e786bf165,Must not be blank,Completeness,0.95
customer start date [customer],Customer Data,Party Data,Customer Data,,,Party Data_Customer Data___customer start date [customer],true,0.985,GPB_1218024_CMP001_2819b795-d412-4ecb-a02a-1ce9b5b0077f,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_714101_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_243556_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_243584_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_540662_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_243585_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_243053_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
country name [residential address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country name [residential address],true,0.985,GPB_243052_CMP001_632a802d-2564-4159-bbf6-fcb3b869ddbe,Must not be blank,Completeness,0.95
credit mitigant provider credit risk rating grade [credit mitigant],Credit Mitigant Data,Account Data,Credit Mitigant Data,,,Account Data_Credit Mitigant Data___credit mitigant provider credit risk rating grade [credit mitigant],true,0.96,GPB_1218024_CMP001_2851f706-578e-4ac7-b26c-da6696115f90,Must not be blank,Completeness,0.95
credit mitigant provider credit risk rating grade [credit mitigant],Credit Mitigant Data,Account Data,Credit Mitigant Data,,,Account Data_Credit Mitigant Data___credit mitigant provider credit risk rating grade [credit mitigant],true,0.96,GPB_237579_CMP001_2851f706-578e-4ac7-b26c-da6696115f90,Must not be blank,Completeness,0.95
financial security type [financial security],Financial Security Data,Product Data,Financial Security Data,,,Product Data_Financial Security Data___financial security type [financial security],true,0.98,GPB_1218024_CMP001_2926676c-0594-41b3-a5c5-e7c51d2e2717,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_243053_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_243585_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_243052_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_540662_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_243584_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
middle name [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___middle name [individual],true,0.0,GPB_243556_CMP001_29845632-e641-4a8c-870d-54f1273132bf,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_243053_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_540662_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_243556_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_243585_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_714101_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_243052_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
Group industry classification [primary business activity],Event Data,Event Data,,,,Event Data____Group industry classification [primary business activity],true,0.99,GPB_243584_CMP001_2987e858-1a25-421e-9380-8bae50e02c3c,Must not be blank,Completeness,0.95
financial transaction beneficiary [financial transaction beneficiary in financial transaction],Party Data,Party Data,,,,Party Data____financial transaction beneficiary [financial transaction beneficiary in financial transaction],true,0.985,GPB_1218024_CMP001_2d34e33f-029e-453d-b3fa-19f44387e0a9,Must not be blank,Completeness,0.95
property identifier [organisation principal business address],Party Data,Party Data,,,,Party Data____property identifier [organisation principal business address],true,0.95,GPB_1218024_CMP001_2e222103-32b3-4100-a4c1-b19e64071767,Must not be blank,Completeness,0.95
accrued interest amount [financial instrument],Contract Data,Contract Data,,,,Contract Data____accrued interest amount [financial instrument],true,0.985,GPB_237579_CMP001_204baba2-9c72-424b-8f2a-882a9aaff58d,Must not be blank,Completeness,0.95
accrued interest amount [financial instrument],Contract Data,Contract Data,,,,Contract Data____accrued interest amount [financial instrument],true,0.985,GPB_1218024_CMP001_204baba2-9c72-424b-8f2a-882a9aaff58d,Must not be blank,Completeness,0.95
exchange rate [exchange rate quotation],Exchange Rate Data,Economic Resource Data,Financial Market Data,Exchange Rate Data,,Economic Resource Data_Financial Market Data_Exchange Rate Data__exchange rate [exchange rate quotation],true,0.975,GPB_237746_CMP001_33d19d6e-49e4-4db9-83f9-cef18b07a20b,Must not be blank,Completeness,0.95
exchange rate [exchange rate quotation],Exchange Rate Data,Economic Resource Data,Financial Market Data,Exchange Rate Data,,Economic Resource Data_Financial Market Data_Exchange Rate Data__exchange rate [exchange rate quotation],true,0.975,GPB_1218024_CMP001_33d19d6e-49e4-4db9-83f9-cef18b07a20b,Must not be blank,Completeness,0.95
exchange rate [exchange rate quotation],Exchange Rate Data,Economic Resource Data,Financial Market Data,Exchange Rate Data,,Economic Resource Data_Financial Market Data_Exchange Rate Data__exchange rate [exchange rate quotation],true,0.975,GPB_237734_CMP001_33d19d6e-49e4-4db9-83f9-cef18b07a20b,Must not be blank,Completeness,0.95
financial transaction type description [financial transaction type],Transaction Data,Event Data,Financial Data,Transaction Data,,Event Data_Financial Data_Transaction Data__financial transaction type description [financial transaction type],true,0.985,GPB_1218024_CMP001_33f2bdf5-7f26-4370-9f75-0508de5086ca,Must not be blank,Completeness,0.95
pledged amount [credit mitigant],Credit Mitigant Data,Account Data,Credit Mitigant Data,,,Account Data_Credit Mitigant Data___pledged amount [credit mitigant],true,0.96,GPB_1218024_CMP001_34cd8386-dc81-4acb-9706-89cc4a051603,Must not be blank,Completeness,0.95
pledged amount [credit mitigant],Credit Mitigant Data,Account Data,Credit Mitigant Data,,,Account Data_Credit Mitigant Data___pledged amount [credit mitigant],true,0.96,GPB_237734_CMP001_34cd8386-dc81-4acb-9706-89cc4a051603,Must not be blank,Completeness,0.95
gross original currency amount [account entry],Event Data,Event Data,,,,Event Data____gross original currency amount [account entry],true,0.985,GPB_1218024_CMP001_376da2d7-79c9-4e8c-98c9-0c530a988295,Must not be blank,Completeness,0.95
payment third party reimbursement bank address country code [monitored electronic funds transfer account entry],Event Data,Event Data,,,,Event Data____payment third party reimbursement bank address country code [monitored electronic funds transfer account entry],true,0.985,GPB_1218024_CMP001_1146387a-b84f-40a9-877f-4dd126b69975,Must not be blank,Completeness,0.95
credit mitigant type [credit mitigant],Credit Mitigant Data,Account Data,Credit Mitigant Data,,,Account Data_Credit Mitigant Data___credit mitigant type [credit mitigant],true,0.96,GPB_1218024_CMP001_3bf774f0-36cc-4dd8-83a0-725a62ba29a8,Must not be blank,Completeness,0.95
contract limit value amount [contract limit],Condition Data,Contract Data,Condition Data,,,Contract Data_Condition Data___contract limit value amount [contract limit],true,0.985,GPB_237734_CMP001_3f0f01f9-a33e-4eaf-8b39-5374f34baa6b,Must not be blank,Completeness,0.95
contract limit value amount [contract limit],Condition Data,Contract Data,Condition Data,,,Contract Data_Condition Data___contract limit value amount [contract limit],true,0.985,GPB_1218024_CMP001_3f0f01f9-a33e-4eaf-8b39-5374f34baa6b,Must not be blank,Completeness,0.95
country code [postal correspondence address],Postal Address Data,Location Data,Address Data,Postal Address Data,,Location Data_Address Data_Postal Address Data__country code [postal correspondence address],false,0.985,GPB_1218024_CMP001_40fc66b9-f3fe-4e4e-9081-7a3672d03fd1,Must not be blank,Completeness,0.95
principal amount [financial instrument] DUPLICATE,Contract Data,Contract Data,,,,Contract Data____principal amount [financial instrument] DUPLICATE,true,0.985,GPB_1218024_CMP001_40fed6b7-7b03-4c38-9015-378ebd334540,Must not be blank,Completeness,0.95
principal amount [financial instrument] DUPLICATE,Contract Data,Contract Data,,,,Contract Data____principal amount [financial instrument] DUPLICATE,true,0.985,GPB_237734_CMP001_40fed6b7-7b03-4c38-9015-378ebd334540,Must not be blank,Completeness,0.95
principal amount [financial instrument] DUPLICATE,Contract Data,Contract Data,,,,Contract Data____principal amount [financial instrument] DUPLICATE,true,0.985,GPB_237746_CMP001_40fed6b7-7b03-4c38-9015-378ebd334540,Must not be blank,Completeness,0.95
advisory special indicator [customer account portfolio],Portfolio Data,Account Data,Portfolio Data,,,Account Data_Portfolio Data___advisory special indicator [customer account portfolio],false,0.98,GPB_1218024_CMP001_41ae38f4-4053-42d3-b4c1-08291ad17751,Must not be blank,Completeness,0.95
customer account balance [customer account] DUPLICATE,Customer Account Data,Account Data,Customer Account Data,,,Account Data_Customer Account Data___customer account balance [customer account] DUPLICATE,true,0.985,GPB_237734_CMP001_d361e4be-6e23-4b30-8e43-32cb0f4d41fc,Must not be blank,Completeness,0.95
